Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A792751,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Black,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792751
A792752,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792752
A792753,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792753
A792754,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792754
A792755,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792755
A792756,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792756
A792757,BLAKE MANOR ROAD78653,TRUE,4/15/2019,Dog,German Shepherd Mix,Brown,Unknown,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A792757
A792745,"14603 TOWN HILL DRIVE
AUSTIN 78728
(30.445495, -97.685005)",TRUE,4/15/2019,Dog,Chihuahua Shorthair Mix,Tricolor,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792745
A792758,"1137 GUNTER STREET
AUSTIN 78721
(30.270035, -97.69652)",TRUE,4/15/2019,Dog,Yorkshire Terrier Mix,Tan/Silver,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792758
A792759,"EAST 2ND
AUSTIN 78702",TRUE,4/15/2019,Dog,Catahoula Mix,Black Smoke/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A792759
A792762,"12320 SKY HARBOR78617
(30.169272, -97.62959)",TRUE,4/15/2019,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A792762
